id,age,male,female,pcomp_1,appear_1,motiv_1,pworth_1,gworth_1,parent_1,teach_1,mate_1,friend_1,affect_1,auton_1,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,psw1_1,psw2_1,psw3_1,psw4_1,ts1_1,ts2_1,ts3_1,ts4_1,ts5_1,enj1_1,enj2_1,enj3_1
1189,14.1,0,1,2.75,3,3.8,2.2,4,3.8,3.8,3.4,4,4,4,3,3,2,3,4,3,4,4,4,2,2,3,2,3,4,4,4,4,4,4,4
1190,13.7,0,1,2.75,3.5,3,2.8,3.75,3.6,3.8,4,4,1.67,4,2,3,3,3,3,1,4,4,3,3,2,3,3,3,4,4,4,4,2,2,1
1191,14.3,1,0,3.5,2.75,3.2,3.8,3.5,3.2,2.8,3.4,2.6,3,2.6,4,3,3,4,3,4,2,3,4,3,4,4,4,3,3,2,3,3,3,2,4
1192,13.5,1,0,3.25,4,2.8,3.4,4,2.8,3.2,3.4,3.4,4,2.8,4,4,1,4,4,1,4,4,1,4,4,4,1,4,1,4,4,3,4,4,4
1193,13.6,1,0,4,4,2.2,3.4,4,2.2,2.8,2.2,2.2,4,2.2,4,4,4,4,4,1,1,1,4,4,4,1,4,4,1,4,1,4,4,4,4
1194,13.6,0,1,2.5,3,2.6,2.8,3.25,2.4,2.8,3,3.4,3,2.6,3,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3
1195,14.4,1,0,2.75,3,2.8,3,2.5,3.4,2.2,2,1.8,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3
1196,14.6,1,0,4,3.25,3.8,4,4,3.8,3.6,3.2,3.8,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
1197,13.5,1,0,3.75,3,3.2,3.6,4,3.6,3.6,2.6,3.6,3.67,3.4,4,4,4,3,4,2,3,3,4,4,3,4,3,4,3,4,3,4,4,4,3
1198,14.4,1,0,2.5,3.25,2.2,2.8,3.25,3.4,3.8,2,3.2,1,2.2,2,3,1,4,1,4,1,4,1,4,4,1,1,4,4,4,4,3,1,1,1
1199,14,1,0,3.75,3.25,3.8,3.4,4,3.8,3.2,3.4,4,1,2.8,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,4,1,1,1
1200,13.9,0,1,3,3,3.8,2.8,3.25,4,4,3.8,4,3.67,3,4,3,2,3,4,3,4,4,4,3,3,3,2,4,4,4,4,4,4,3,4
1201,14,1,0,3.75,3.5,3.6,3.8,3.5,2.4,2.8,2.8,4,4,2.4,4,4,3,4,4,2,4,4,4,4,4,4,3,2,4,2,3,3,4,4,4
1202,14.2,0,1,2.75,2,3.2,2.2,3,3.4,2,2.6,2.8,2.33,2.4,3,3,3,2,3,3,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2
1203,14.3,1,0,4,4,4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1204,15.1,1,0,2.25,2,2.8,2.4,3.5,2,3.2,2.4,3.2,3.33,1.8,3,2,2,2,4,1,3,3,3,3,3,2,2,4,3,3,2,4,3,3,4
1205,15.6,0,1,2.75,1.75,3,2,3.25,4,3.6,3.6,4,3,2,3,3,3,2,4,3,2,3,3,2,2,2,2,4,3,3,4,4,3,3,3
1206,14.3,.,.,2.25,2.5,2.2,2,2.25,2.8,2.8,3,2.2,2.67,2.6,3,2,2,2,2,1,2,3,3,2,1,3,1,4,3,2,2,3,3,1,4
1207,13.7,1,0,3,3.75,3.6,3,3.5,2.8,2.8,3.2,2.6,2,2.4,3,3,3,3,3,4,4,4,3,3,3,4,2,3,3,3,3,2,2,2,2
1208,13.7,0,1,2,1.5,2.8,1.6,2.5,3.6,3.6,3,3.4,1.33,2.8,3,2,2,1,3,2,3,3,3,2,2,2,1,4,4,3,3,4,1,2,1
1209,15.9,0,1,1.5,2.25,2.6,2.4,3.25,3.8,3.4,3,4,1.33,3.2,1,2,2,1,2,1,4,3,3,2,3,2,2,3,3,3,4,4,2,1,1
1210,13.7,1,0,3.5,2.75,3.4,3.2,3,3.8,3.2,3.4,3.6,3,2.8,4,4,3,3,4,3,3,3,4,3,4,3,3,2,4,3,3,4,3,3,3
1211,14.1,1,0,4,3.5,3.4,4,3.75,4,3.4,3.8,4,3.67,3.8,4,4,4,4,4,2,4,3,4,4,4,4,4,4,1,4,4,4,4,3,4
1212,15.4,0,1,1,1.5,1,1.6,3,3.8,3,2,3.2,1,1.6,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,2,3,1,1,1
1213,14.7,1,0,2.5,3,2.6,3,3.5,3.2,2.6,3.4,3.2,3.33,2.6,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3
1214,14.3,1,0,4,4,3.2,4,4,3,3.4,3.4,3.4,4,3.8,4,4,4,4,4,1,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4
