sex,age,height,weight,team,year,season,sport,medaled
1,16,158,50,Germany,2016,Summer,Gymnastics,FALSE
1,27,175,110,Brazil,2016,Summer,Judo,FALSE
0,20,185,90,Ukraine,2016,Summer,Canoeing,FALSE
0,25,191,78,Mexico,2016,Summer,Athletics,FALSE
1,19,170,52,United States,2016,Summer,Synchronized Swimming,FALSE
0,32,173,67,Spain,2016,Summer,Equestrianism,FALSE
0,32,173,67,Spain,2016,Summer,Equestrianism,FALSE
1,21,162,60,Colombia,2016,Summer,Synchronized Swimming,FALSE
0,20,181,76,Honduras,2016,Summer,Football,FALSE
0,25,173,60,Cuba,2016,Summer,Boxing,TRUE
0,22,188,93,Argentina,2016,Summer,Rugby Sevens,FALSE
0,31,174,74,Spain,2016,Summer,Equestrianism,FALSE
0,31,174,74,Spain,2016,Summer,Equestrianism,FALSE
0,22,180,84,Spain,2016,Summer,Archery,FALSE
0,22,180,84,Spain,2016,Summer,Archery,FALSE
1,30,176,70,Colombia,2016,Summer,Judo,TRUE
0,22,183,64,Brazil,2016,Summer,Athletics,FALSE
1,17,169,55,Egypt,2016,Summer,Synchronized Swimming,FALSE
1,19,155,59,Panama,2016,Summer,Gymnastics,FALSE
1,19,155,59,Panama,2016,Summer,Gymnastics,FALSE
1,19,155,59,Panama,2016,Summer,Gymnastics,FALSE
1,19,155,59,Panama,2016,Summer,Gymnastics,FALSE
0,29,183,73,Costa Rica,2016,Summer,Cycling,FALSE
0,22,165,58,Ethiopia,2016,Summer,Athletics,FALSE
0,24,NA,NA,Ghana,2016,Summer,Athletics,FALSE
1,26,190,84,France,2016,Summer,Basketball,FALSE
0,19,175,64,Ethiopia,2016,Summer,Athletics,FALSE
1,32,162,57,Colombia,2016,Summer,Judo,FALSE
0,24,193,70,Malaysia,2016,Summer,Athletics,FALSE
1,28,191,63,Nigeria,2016,Summer,Athletics,FALSE
0,26,180,87,Sweden,2016,Summer,Athletics,FALSE
0,26,193,100,Kenya,2016,Summer,Rugby Sevens,FALSE
0,18,170,65,Gabon,2016,Summer,Swimming,FALSE
1,36,169,64,Argentina,2016,Summer,Canoeing,FALSE
1,36,169,64,Argentina,2016,Summer,Canoeing,FALSE
1,17,165,54,Egypt,2016,Summer,Diving,FALSE
0,18,199,80,Egypt,2016,Summer,Fencing,FALSE
0,28,187,87,Egypt,2016,Summer,Handball,FALSE
1,36,168,54,Bahamas,2016,Summer,Athletics,FALSE
0,27,188,82,Great Britain,2016,Summer,Hockey,FALSE
1,29,164,65,France,2016,Summer,Rugby Sevens,FALSE
0,24,180,85,Georgia,2016,Summer,Wrestling,FALSE
0,28,210,102,Nigeria,2016,Summer,Basketball,FALSE
1,17,170,62,Israel,2016,Summer,Sailing,FALSE
1,18,162,47,Uzbekistan,2016,Summer,Rhythmic Gymnastics,FALSE
1,27,164,56,Thailand,2016,Summer,Badminton,FALSE
