 1054  1 14 2.50 2.25 3.00 2.20 3.00 2.60 3.60 4.00 2.60 3.67 2.60 2.00 2.50 3.00 2.80 2.60 2.80 3.80 3.80 2.40 2.80 3.00 3.00 3.00 2.00 2.25 2.75 2.80 3.00 3.20 3.80 3.80 2.80 3.00 2.40 2.80 3.75 3.00 4.00 3.60 3.80 2.20 3.80 4.00 4.00 4.00 3.20 3.20 2.80
 1055  1 14 3.25 2.25 3.00 3.00 2.80 3.00 3.20 3.20 2.80 3.00 2.00 2.75 3.00 3.00 3.00 2.40 2.80 2.80 1.80 2.40 2.80 3.00 2.00 2.00 3.50 3.50 2.75 3.00 2.60 2.40 3.00 2.60 2.20 3.00 2.20 3.20 3.00 3.00 3.00 3.00 2.60 3.00 3.20 4.00 2.40 3.00 2.20 2.20 3.40
 1056  0 14 3.25 3.25 3.00 3.00 2.80 2.80 3.20 2.80 2.80 3.00 2.40 3.00 3.00 3.00 3.00 3.00 3.00 3.00 3.00 2.40 2.40 3.00 3.00 3.00 3.25 3.00 4.00 3.60 4.00 4.00 4.00 4.00 3.40 3.00 3.00 3.60 3.25 3.25 3.25 3.00 4.00 3.80 3.80 4.00 3.20 3.00 2.20 2.80 2.80
 1057  0 14 2.75 3.00 3.00 3.00 2.80 2.80 2.60 3.20 2.60 2.67 2.40 3.00 3.00 3.00 3.00 3.00 2.40 3.00 3.00 3.40 3.00 3.00  .   3.05 3.00 3.00 3.25 3.00 2.80 2.80 3.00 4.00 3.20 3.00 2.80 3.00 3.00 3.00 3.25 3.00 2.80 3.00 3.60 4.00 2.80 3.00 3.00 3.40 2.40
 1058  1 14 1.75 2.25 2.25 2.00 2.80 2.60 3.40 4.00 2.80 3.00 3.00 2.75 2.50 3.50 2.60 3.20 3.40 3.40 4.00 3.00 3.80 3.00 3.00 3.00 2.75 2.75 3.00 3.00 3.00 2.80 3.40 3.80 3.20 3.00 3.00 3.00 3.00 3.00 2.75 3.00 3.00 3.00 2.60 4.00 2.80 3.00 3.40 3.00 3.00
 1059  0 15 3.25 4.00 4.00 3.80 2.60 2.80 3.40 2.60 2.40 3.00 2.80 2.75 2.75 2.50 1.80 1.80 2.60 2.60 2.00 2.40 2.40 2.33 2.60 2.60  .    .    .    .    .    .    .    .    .    .    .    .   2.25 2.25 2.50 2.60 2.00 2.40 2.60 2.60 2.80 2.67 2.20 2.40 2.80
 1060  1 15 2.00 3.00 3.00 3.20 2.80 2.80 3.60 2.80 2.40 2.67 2.80 2.25 3.00 3.00 3.00 3.00 3.00 3.60 3.60 2.20 2.60 3.00 2.60 2.60 2.75 3.00 3.00 3.00 3.00 3.20 3.60 3.80 2.40 3.00 2.60 2.60 2.50 3.00 3.00 3.00 3.20 3.00 3.80 4.00 2.20 3.00 3.00 2.80 2.60
 1061  0 14 3.25 2.00 3.00 2.60 2.60 2.60 2.60 2.40 2.80 2.00 2.40 2.50 2.50 3.00 2.40 2.40 2.80 2.40 2.40 2.40 2.80 3.00 2.60 2.60  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1062  1 14 1.25 2.25 3.00 2.20 2.20 3.00 3.40 3.20 2.40 1.00 2.40 3.00 2.25 3.00 2.20 1.60 3.00 2.00 2.20 2.60 2.40 1.33 2.40 2.40 3.00 2.50 2.00 2.40 2.40 2.60 2.00 2.00 2.40 3.33 2.40 2.20 2.00 2.00 2.75 2.80 2.80 3.00 3.00 3.40 2.80 2.00 2.00 3.00 3.00
 1063  0 14 2.50 3.00 3.75 4.00 2.80 3.20 3.80 3.00 3.00 4.00 3.20 3.00 2.75 3.00 3.00 3.00 3.33 3.00 3.00 3.00 3.00 3.33 2.40 2.40 2.75 3.00 3.00 3.00 3.00 3.00 3.00 3.00 2.00 3.00 3.20 2.60 2.75 3.00 3.25 3.00 3.00 3.00 3.00 3.00 2.20 3.33 3.20 2.60 2.40
 1064  0 14 2.25 2.25 2.75 2.60 3.20 2.40 2.20 2.20 2.20 3.00 2.80 2.00 2.00 2.67 2.50  .    .    .    .   2.80 2.40 3.00 1.80 1.80 2.00 2.00 2.50 2.20 3.20 2.20 2.40 2.40 2.60 3.00 1.60 1.80 2.25 2.00 2.25 2.20 2.20 2.00 2.40 2.40 2.80 3.00 1.80 2.00 2.60
 1065  0 15 4.00 4.00 4.00 4.00 4.00 3.00 4.00 4.00 3.60 3.00 2.20 4.00 4.00 3.50 4.00 4.00 3.20 3.80 4.00 3.40 3.00 3.00 3.40 3.40 4.00 4.00 3.50 4.00 4.00 3.00 4.00 4.00 3.80 3.00 3.60 3.20 4.00 4.00 3.75 4.00 4.00 3.60 4.00 4.00 3.80 3.00 3.80 4.00 4.00
 1066  0 14 3.50 2.75 3.75 3.00 3.20 2.60 2.40 2.60 3.00 3.33 2.60 1.75 2.25 2.25 2.40 3.20 2.80 2.80 2.60 2.80 2.80 3.00 2.60 2.60 3.25 3.00 3.00 3.00 3.40 3.00 2.20 3.40 2.80 3.00 2.40 2.80 4.00 1.75 2.75 3.00 3.20 2.40 3.20 2.60 3.80 3.00 2.20 3.00 2.00
 1067  . 15 2.00 4.00 3.50 2.60 2.80 3.80 3.40 4.00 2.20 2.00 3.00  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1068  1 14 1.00 1.00 1.25 1.00 3.00 3.40 3.60 3.60 1.60 1.00 2.80 1.00 1.50 2.00 2.00 2.40 1.60 2.40 1.60 2.40 2.80 2.33 2.20 2.20 1.00 1.00 1.00 1.00 2.00 2.80 4.00 4.00 1.00 1.00 1.60 2.60 1.00 1.25 1.75 1.20 3.20 2.80 3.60 3.20 1.40 1.33 2.20 2.80 3.60
 1069  1 14 4.00 3.50 4.00 3.20 3.80 3.40 4.00 3.40 2.80 3.33 2.80 3.50 3.00 3.75 3.80 3.80 4.00 4.00 3.60 3.40 3.20 4.00 3.40 3.40 4.00 3.00 4.00 3.60 4.00 4.00 4.00 4.00 3.60 4.00 3.40 3.80 3.75 3.00 3.75 3.80 4.00 3.40 4.00 4.00 3.80 3.67 3.40 4.00 4.00
 1070  1 15 2.25 2.50 3.00 2.80 3.40 3.20 3.20 3.20 2.80 3.00 2.80 3.25 3.00 3.00 3.00 3.80 4.00 4.00 4.00 2.80 2.80 3.00 3.00 3.00 3.25 2.75 3.25 3.40 3.60 4.00 3.80 4.00 3.80 4.00 3.00 3.40  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1071  1 14 2.00 1.00 2.00 1.40 3.40 2.40 2.60 2.60 2.00 3.00 2.80 2.00 1.00 2.00 1.00 3.00 3.00 3.00 2.60 2.20 2.40 3.00 4.00 4.00 2.00 1.00 1.75 1.00 3.20 3.00 3.00 2.80 2.20 3.00 2.40 4.00 2.00 2.00 2.00 2.00 3.80 3.00 2.80 3.00 2.00 2.00 2.60 4.00 1.20
 1072  0 15 3.75 4.00 3.50 3.60 3.20 3.60 3.40 3.20 2.60 3.67 2.80  .    .    .    .    .    .    .    .    .    .    .    .    .   3.25 3.00 3.75 3.60 3.00 3.00 2.80 3.00 2.80 3.00 2.80 2.60  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1073  1 14 1.25 1.75 2.75 2.00 2.40 2.40 3.20 4.00 3.00 1.00 3.20 1.25 1.75 2.75 1.00 3.20 3.80 3.40 4.00 2.20 2.60 1.67 4.00 4.00  .    .    .    .    .    .    .    .    .    .    .    .   3.00 4.00 3.75 3.80 4.00 4.00 4.00 4.00 2.20 4.00 4.00 4.00 3.20
 1074  1 17 1.75 2.00 2.00 1.80 1.60 3.80 2.20 3.00 2.20 1.67 2.40  .    .    .    .    .    .    .    .    .    .    .    .    .   2.50 1.00 1.25 1.20 2.40 3.40 2.20 1.60 3.00 1.67 2.40 2.00 2.00 2.00 2.00 2.00 2.40 3.00 2.40 2.00 2.00 2.00 2.60 2.00 2.20
